Z	L	D
ድሕሪ ነዊሕ ዘመናት ድሕረት፥ ሰብ ንሰብ ብምቕታሉ፣ ብምብዳሉ ዝውደሰሉ፣ ዝሽለመሉ ወይከዓ ከም ጅግና ዝቝፀረሉ ግዜ ሓሊፉ፡፡	ድሕሪ ነዊሕ ዘበናት ድሕረት፥ ሰብ ንሰብ ብምቕታሉ፣ ብምብዳሉ ልውደሰሉ፣ ልሽለመሉ ወይ ሃም ጅግና ልቝፀረሉ ግዜ ሓሊፉ፡፡	ድሕሪ ነዊሕ ዘበናት ድሕረት፥ ሰብ ድሰብ ብምቕታሉ፣ ብምብዳሉ ድውደሰሉ፣ ድሽለመሉ ወይ ሃም ጅግና ድቝፀረሉ ግዜ ሓልፉ፡፡
ወዲ ሰብ ለውጢ ኣተሓሳስባ፣ ባህሪ ፣ ኣዚሩ ምሕሳብ፣ መነባብሮ፣ ሰብአዊ ክብሪ እናፈለጠ፣ እናተረደኦ ምስ መፅአ፥ ካብ ስርዓት ኣልቦነት፣ ካብ ህልኽን ነንባዕሉ ህልቂትን ብምውፃእ፥ ብዙሓት ባህላዊ ስርዓተ ክብርታት ፈጢሩ ክትግብር ጀሚሩ፡፡	ወዲ ሰብ ለውጢ ኣተሓሳስባ፣ ባህሪ ፣ ኣዚሩ ምሕሳብ፣ መነባብሮ፣ ሰብአዊ ክብሪ ላፈለጠ፣ ላተረደኦ ምስ መፀ፥ ካብ ስርዓት ኣልቦነት፣ ካብ ህልኽይ ልሊባዕሉ ህልቂትይ ብምውፃእ፥ ብዙሓት ባህላዊ ስርዓተ ክብርታት ፈጢሩ ክትግብር ጀሚሩ፡፡	ወዲ ሰብ ለውጢ ኣተሓሳስባ፣ ባህሪ ፣ ኣዙሩ ምሕሳብ፣ መነባብሮ፣ ሰብአዊ ኽብሪ ላፈለጠ፣ ላተረደኦ ብድመፅአ፥ ካስርዓት ኣልቦነት፣ ካህልክይ ድድባዕሉ ህልቀትይ ብምውፃእ፥ ብዙሓት ባህላዊ ስርዓተ ኽብርታት ፈጥሩ ክትግብር ጀምሩ፡፡
ሓደጋታት ተፈጥሮ ኰነ ሰብ ሰራሕ ንምክልኻል ኰነ ንምስዓር እንተተሓባቢሮም፣ እንተተሰማሚዖም፣ እንተተፋቒሮም፣ ኣብ ሞንጊኦም ሰላም እንተሃልዩ ጥራሕ ምዃኑ ፈሊጦም፣ብተግባር ክርድኡ ጀሚሮም፡፡	ሓደጋታት ተፈጥሮ ኰነ ሰብ ሰራሕ ልምክልኻል ኰነ ልምስዓር ተተሓባቢሮም፣ ተተሰማሚዖም፣ ተተፋቒሮም፣ ሰበሶም (ኣብ ሞንጊኦም) ሰላም ተሃልዩ ጥራሕ ምዃኑ ፈሊጦም፣ብተግባር ክርድኡ ጀሚሮም፡፡	ሓደጋታት ተፈጥሮ ኾነ ሰብ ሰራሕ ድምክልኻል ኾነ ድምስዓር ተትሓባብሮም፣ ተትሰማምዖም፣ ተትፋቕሮም፣ ሰበሶም (ኣብ ሞንጊኦም) ሰላም ተሃልዩ ጥራሕ ምዃኑ ፈልጦም፣ብተግባር ክርደኡ ጀምሮም፡፡
ደቂ ሰብ፥ ብኽልተ ምኽንያታት ስርዓት፣ ሕጊ ክፈጥሩ፣ ክምህዙ ክኢሎም እዮም፡፡	ደቂ ሰብ፥ ብኽልተ ምኽንያታት ስርዓት፣ ሕጊ ክፈጥሩ፣ ክምህዙ ኽኢሎም እዮም፡፡	ደቂ ሰብ፥ ብኽልተ ምኽንያታት ስርዓት፣ ሕጊ ክፈጥሩ፣ ክምህዙ ኽእሎም ይኦም፡፡
እቲ ቀዳማይ፥ ሃይማኖታዊ እምነት እዩ፤ ትካላት እምነት፥ ኣመንትን ተከተልትን ዝምርሕሉ ስርዓት፣ ትእዛዝ፤ ብትምህርቲ ስብከት ኣተሓሳስባ ወዲ ሰብ፣ ስነምግባር ክህልዎ ኣብ ምግባር ዓብይ ተራ ነይሩወን፡፡	እቲ ቀዳማይ፥ ሃይማኖታዊ እምነት እዩ፤ ትካላት እምነት፥ ኣመንትይ ተኸተልትይ ልምርሕሉ ስርዓት፣ ትእዛዝ፤ ብትምህርቲ ስብከት ኣተሓሳስባ ወዲ ሰብ፣ ስነምግባር ክህልዎ ኣብ ምግባር ዓብይ ተራ ነይሩወን፡፡	እቲ ቓዳማይ፥ ሃይማኖታዊ እምነት ይኡ፤ ትካላት እምነት፥ ኣመንትይ ትኻተልትይ ድምረሕሉ ስርዓት፣ ትእዛዝ፤ ብትምህርቲ ስብከት ኣተሓሳስባ ወዲ ሰብ፣ ስነ-ምግባር ክህልዮ ኣብ ምግባር ዓብይ ተራ ነውሩወን፡፡
እቲ ካልኣይ፥ ስልጣን እዩ፤ ሰበ ስልጣን፣ ነገስታት ስልጣኖም ከይፈርስ፣ ህዝቢ ንምምሕዳር ሕጊ፣ ስርዓት ምሕደራ ስለ ዘድልዮም፥ ኣብ ኣተሓሳስባ ወዲ ሰብ ርኡይ ለውጢ ከምፅኡ ክኢሎም እዮም፡፡	እቲ ኻልኣይ፥ ስልጣን እዩ፤ ሰበ ስልጣን፣ ነገስታት ስልጣኖም ከይፈርስ፣ ህዝቢ ልምምሕዳር ሕጊ፣ ስርዓት ምሕደራ ስለለድልዮም፥ ኣብ ኣተሓሳስባ ወዲ ሰብ ርኡይ ለውጢ ክመፁ ኽኢሎም እዮም፡፡	እቲ ኻልኣይ፥ ስልጣን ይኡ፤ ሰበ ስልጣን፣ ነገስታት ስልጣኖም ከይፈርሽ፣ ህዝቢ ድምምሕዳር ሕጊ፣ ስርዓት ምሕደራ ስለዳድልዮም፥ ኣብ ኣተሓሳስባ ወዲ ሰብ ርኡይ ለውጢ ካምፅኡ ኽእሎም ይኦም፡፡
በዚ መሰረት፥ ካብ ቅድሚ ልደተ ክርስቶስ ኣትሒዙ፥ ህዝቢ ብሕገ ኦሪት፤ ድሕሪ ልደተ ክርስቶስ፥ ብሕገ ሓዲስ ኪዳን፥ ብፅሑፍን ብሕገ ልቦናን (ብቃል) ይዳነ፣ ይመሓደር ነይሩ፡፡	በዚ መሰረት፥ ካብ ቕድሚ ልደተ ክርስቶስ ኣድሒዙ፥ ህዝቢ ብሕጊ ኦሪት፤ ድሕሪ ልደተ ክርስቶስ፥ ብሕጊ ሃዲስ ኪዳን፥ ብፅሑፍይ ብሕገ ልቦናይ (ብቃል) ይዳነ፣ ይመሓደር ነይሩ፡፡	በዚ መሰረት፥ ካቕድሚ ልደተ ክርስቶስ ጀምሩ፥ ህዝቢ ብሕጊ ኦሪት፤ ድሕሪ ልደተ ክርስቶስ፥ ብሕጊ ኣዲስ ኪዳን፥ ብፅሑፍይ ብሕገ ልቦና (ብቃል) ይዳነ፣ ይመሓደር ነውሩ፡፡
ኣብ ሕጊ ኦሪት፥ ሰብ ዝቀተለ ክቕተል፣ ዓይኒ ዘጥፈአ ዓይኑ ክጠፍእ ውሳነ ፍርዲ ይወሃብ ነይሩ፡፡	ኣብ ሕጊ ኦሪት፥ ሰብ ልቐተለ ክቕተል፣ ዓይኒ ለጥፈአ ዓይኑ ክጠፍእ ውሳነ ፍርዲ ይወሃብ ነይሩ፡፡	ኣብ ሕጊ ኦሪት፥ ሰብ ድቐተለ ክቕተል፣ ዓይኒ ዳጥፍአ ዓይኑ ክጠፍእ ውሳነ ፍርዲ ይወሃብ ነውሩ፡፡
ድሕሪ ልደተ ክርስቶስ፥ ዝፀንሐ ሕጊ ተከሊሱ፥ ብሕጊ ሓዲስ ኪዳን ተለዊጡ፡፡	ድሕሪ ልደተ ክርስቶስ፥ ልፀንሐ ሕጊ ተከሊሱ፥ ብሕጊ ሃዲስ ኪዳን ተለዊጡ፡፡	ድሕሪ ልደተ ክርስቶስ፥ ድፀንሐ ሕጊ ተኽልሱ፥ ብሕጊ ኣዲስ ኪዳን ትለውጡ፡፡
ሰብ ተጋግዩ ኢልካ ኣይትጋገ፣ ሓዊ ዀይኑ እንትመፅአካ ማይ ኮይንኻ ፅንሐዮ፤ ብፀጋምካ እንተፀፊዑካ ክደግመካ የማንካ ሃቦ፣ ብዝብል ትእዛዝ፥ ኣብ ልዕሊ ሰባት ከይጨኻኸኑ ተሰቢኹ፣ ንዘመናት ኣስተምህሮ እናተውሃበ መፂኡ፡፡	ሰብ ተጋግዩ ኢልኻ ኣይትጋገ፣ ሓዊ ዀይኑ እንትመፀካ ማይ ዀይንኻ ፅንሐዮ፤ ብጕራኻ ተፀፉዑካ ክደግመካ ምዝጋኻ ሃቦ፣ ብልብል ትእዛዝ፥ ኣብ ልዕሊ ሰባት ከይጨኻኸኑ ተሰቢኹ፣ ልዘበናት ኣስተምህሮ ላተውሃበ መፂኡ፡፡	ሰብ ተጋግዩ ብልኻ ኣይትጋገ፣ ሓዊ ኾይኑ ተመፀካ ማይ ኾይንኻ ፅንሖ፤ ብጕራኻ ተፀፉዑካ ክደግመካ ምዝጋኻ ሃቦ፣ ብድብል ትእዛዝ፥ ኣብ ልዕሊ ሰባት ከይጨኻኸኑ ተሰብኹ፣ ድዘበናት ኣስተምህሮ ዳተውሃበ መፅኡ፡፡
ብመሰረት እዚ፥ ኣብያተ እምነት፣ ባህላዊ ሓድግታት፣ መሰረት ስርዓት ዅሎም ዘመናዊ ሕጊ፣ ምህዞታት ዓለምና እዮም፡፡	ብመሰረት እዚ፥ ኣብያተ እምነት፣ ባህላዊ ሓድግታት፣ መሰረት ስርዓት ዅሎም ዘመናዊ ሕጊ፣ ምህዞታት ዓለምና እዮም፡፡	ብመሰረት እዚ፥ ኣብያተ እምነት፣ ባህላዊ ሓድግታት፣ መሰረት ስርዓት ዅሎም ዘመናዊ ሕጊ፣ ምህዞታት ዓለምና ይኦም፡፡
ኣብ ሃይማኖታዊ መፃሕፍቲ፥ መፅሓፍ ቅዱስን ቅዱስ ቁርኣንን ደቂ ሰባት በቢእምነቶም ብሕጊ፣ ብስነ-ምግባር፣ ብስርዓት ይምርሑ፡፡	ኣብ ሃይማኖታዊ መፃሕፍቲ፥ መፅሓፍ ቅዱስን ቅዱስ ቁርኣንን ደቂ ሰባት በቢእምነቶም ብሕጊ፣ ብስነ-ምግባር፣ ብስርዓት ይምርሑ፡፡	ኣብ ሃይማኖታዊ መፃሕፍቲ፥ መፅሓፍ ቅዱስይ ቅዱስ ቁርኣንይ ደቂ ሰባት በብእምነቶም ብሕጊ፣ ብስነ-ምግባር፣ ብስርዓት ይምረሑ፡፡
ድሕሪ ነዊሕ ግዜ፥ ሰብ እንተጥፍእ ዝግሰፀሉ ዘመናዊ ሕጊ፥ ኣብ ሕገ መንግስቲ ብዝሰፈረ፥ ብሕጊ ፍትሃብሄር፣ ገበን መቕፅዒ ሕጊ ተደንጊጉ ኣብ ተግባር ውዒሉ፡፡	ድሕሪ ነዊሕ ግዜ፥ ሰብ እንተጥፍእ ልግሰፀሉ ዘመናዊ ሕጊ፥ ኣብ ሕገ መንግስቲ ብልሰፈረ፥ ብሕጊ ፍትሃብሄር፣ ወንጀል መቕፅዒ ሕጊ ተደንጊጉ ኣብ ተግባር ውዒሉ፡፡	ድሕሪ ነውሕ ግዜ፥ ሰብ ታጥፍእሎ ድግሰፀሉ ዘበናዊ ሕጊ፥ ኣብ ሕገ መንግስቲ ብድሰፈረ፥ ብሕጊ ፍትሃብሄር፣ ወንጀል መቕፅዒ ሕጊ ተደንግጉ ኣብ ተግባር ውዕሉ፡፡
ዅሎም ቤተ-እምነታት፥ ወትሩ ስለ ዕርቀ ሰላም፣ ቅንዕና፣ ፅቡቕ ስነ ምግባር፣ ምድግጋፍ፣ ሓድነት፣ ምሕረት (ይቕረ በሃላይነት)፣ ክብሪ ወዲ ሰብ፣ ሓቂ ዘረባ፣ ሰብኣዊ ርህሩህነት፣ ፍቕርን ምትሕስሳብን፣ ኣፀያፊነት ሓሶት፣ ኣፀያፊነት ክሕደት፣ ኣፀያፊነት ዅሉ ዓይነት በደልን ክፍኣትን ዘምህሩን ዝሰብኹን ብምዃኖም፥ ሰብ ኣብ ልዕሊ ሰብ ከይጭክን፣ ኽፋእ ከይሓስብን ከይፍፅምን፣ ፈሪሃ እግዚኣብሄር ንክህልዎ ፅዕንቶ ፈጢሩ ፡፡	ዅሎም ቤተ-እምነታት፥ ወትሩ ስለ ዕርቀ ሰላም፣ ቕንዕና፣ ፅቡቕ ስነ ምግባር፣ ምድግጋፍ፣ ሓድነት፣ ምሕረት (ይቕረ በሃላይነት)፣ ክብሪ ወዲ ሰብ፣ ሓቂ ፅዋ፣ ሰብኣዊ ርህሩህነት፣ ፍቕርይ ምትሕስሳብይ፣ ኣፀያፊነት ሓሶት፣ ኣፀያፊነት ክሕደት፣ ኣፀያፊነት ዅሉ ዓይነት በደልይ ክፍኣትይ ለምህሩን ልሰብኹን ብምዃኖም፥ ሰብ ኣብ ልዕሊ ሰብ ከይጭክን፣ ኽፋእ ከይሓስብይ ከይፍፅምይ፣ ፈሪሃ እግዚኣብሄር ክህልዎ ተፅዕኖ ፈጢሩ ፡፡	ዅሎም ቤተ-እምነታት፥ ወትሮ ስለ ዕርቀ ሰላም፣ ቕንዕና፣ ፅቡቕ ስነ- ምግባር፣ ምድግጋፍ፣ ሓድነት፣ ምሕረት (ይቕረ በሃላይነት)፣ ኽብሪ ወዲ- ሰብ፣ ሓቂ ፅዋ፣ ሰብኣዊ ርህሩህነት፣ ፍቕርይ ምትሕስሳብይ፣ ኣፀያፊነት ሕሾት፣ ክሕደት፣ ኹሉ ዓይነት በደልይ ኽፍኣትይ ዳምህሩይ ድሰብኹይ ብምዃኖም፥ ሰብ ኣብ ልዕሊ ሰብ ከይጭክን፣ ኽፉእ ኸይሓስብይ ኸይፍፅምይ፣ ፈሪሃ እግዚሃር ክህልዮ ፅዕንቶ ፈጥሩ ፡፡
ቕድሚ እዚ ኹሉ ዘመናዊ ሕጊ ምፍጣሩ ግና፥ ሰብ ብሕገ ልቦና (ብቃል እምነት) ብባህላዊ መንገዲ ከም ሓደ ትካል ፍትሒ ኰይኑ ንምድናይ የገልግል ነይሩ፡፡	ቕድሚ እዚ ኹሉ ዘመናዊ ሕጊ ምፍጣሩ ግና፥ ሰብ ብሕገ ልቦና (ብቃል እምነት) ብባህላዊ መንገዲ ሃም ሓደ ትካል ፍትሒ ዀይኑ ልምድናይ የገልግል ነይሩ፡፡	ቕድሚ እዚ ኹሉ ዘመናዊ ሕጊ ምፍጣሩ ግና፥ ሰብ ብሕገ ልቦና (ብቃል እምነት) ብባህላዊ መንገዲ ሃም ሓደ ትካል ፍትሒ ኾይኑ ድምድና ያገልግል ነውሩ፡፡
ወድ ሰብ በደል፣ ጕድኣት እንትበፅሖ፣ ጐንፂ እተጋጥሞ ዝዳነየሉ፣ ፍትሒ ዝረኽበሉ፣ ሰላም ዝነግሰሉ ስርዓት ዘትሕዘሉ ጥበብ ፈጢሩ፡፡	ወድ ሰብ በደል፣ ጕድኣት እንትበፅሖ፣ ጐንፂ እተጋጥሞ ልዳነየሉ፣ ፍትሒ ለግንየሉ፣ ሰላም ልነግሰሉ ስርዓት ለትሕዘሉ ጥበብ ፈጢሩ፡፡	ወድ ሰብ በደል፣ ጕድኣት ትበፅሖሎ፣ ኣምባጓሮ ታጋጥሞሎ ድዳነየሉ፣ ፍትሒ ዳግንየሉ፣ ሰላም ድነግሰሉ ስርዓት ዳድሕዘሉ ጥበብ ፈጥሩ፡፡
ኣበው ከም ዝብልዎ፥ ድሕሪ ነዊሕ ዘመናት፥ ወዲ ሰብ ነንባዕሉ ብምንሕናሕ፣ ብጕልበት ኣብ ሰባት ጥቅዓት ምፍፃም፣ ምብዳል ዋላ ሓንቲ ተጠቃሚ ዝኮን ኣካል ከምዘየለ ተረዲኡ።	ኣበው ሃም ልብልዎ፥ ድሕሪ ነዊሕ ዘበናት፥ ወዲ ሰብ ለልባዕሉ ብምንሕናሕ፣ ብጕልበት ኣብ ሰባት ጥቕዓት ምፍፃም፣ ምብዳል ዋላ ሓንቲ ተጠቃሚ ልኾን ኣካል ሃምለየለ ተረዲኡ።	ዓበይቲ ሃም ድብልዎ፥ “ድሕሪ ነዊሕ ዘበናት፥ ወዲ ሰብ ድድባዕሉ ብምንሕናሕ፣ ብጕልበት ኣብ ሰባት ጥቕዓት ምፍፃም፣ ምብዳል ዋላ ሓንቲ ትጠቃሚ ድኾን ኣካል ሃምደየለ ትረድኡ።
እኳ ደኣስ፣ ሕድሕዱ ምጥቅቃዕ እንተቐፂሉ፥ ዝተረጋግዐ ሂወት ምምራሕ ፍፁም ዘይከኣል ምዃኑ ፈሊጡ።	እዃ ደኣስ፣ ሕድሕዱ ምጥቕቓዕ እንተቐፂሉ፥ ልተረጋግዐ ሂወት ምምራሕ ፍፁም ለይከኣል ምዃኑ ፈሊጡ።	እንድያም ንሶድንሶ ምጥቕቓዕ እንድሕር ቓፅሉ፥ ድተረጋግዐ ሂወት ምምራሕ ፍፁም ደይከኣል ምዃኑ ፈልጡ።
ሰባት ብፍላጥ ኰነ ብገርሂ ኣብ ልዕሊ ወገኖም ጥፍኣት፣ ስሕተት እንትፍፅሙ፥ ናብ ዝገደደ ሓደጋ እናሰፍሐ ከይኸይድ ብሰላማዊ መንገዲ ዝተኣራረሙሉ፣ በዳሊ ምስ ተበዳሊ ብምቅርራብ፥ ይትረፍ ይትረፍ ተበሃሂሎም፥ ብይቅርታ ሰላም ዝፈጥሩሉ ስርዓት ክፈጥሩ ክኢሎም” ይብሉ፡፡	ሰባት ብፍላጥ ኰነ ብገርሂ ኣብ ልዕሊ ወገኖም ጥፍኣት፣ ስሕተት እንትፍፅሙ፥ ላብ ልገደደ ሓደጋ ላሰፍሐ ከይኸድ ብሰላማዊ መንገዲ ልተኣራረሙሉ፣ በዳሊ ምስ ተበዳሊ ብምቕርራብ፥ ይትረፍ ይትረፍ ተበሃሂሎም፥ ብይቅርታ ሰላም ልፈጥሩሉ ስርዓት ክፈጥሩ ኽኢሎም” ይብሉ፡፡	ሰባት ብፍላጥ ኾነ ብገርሂ ኣብ ልዕሊ ወገኖም ጥፍኣት፣ ስሕተት ትፍፅለው፥ ዳብ ድገደደ ሓደጋ ዳሰፍሐ ክኸድ ብሰላማዊ መንገዲ ድትኣራረሙሉ፣ በዳሊ ምስ ትበዳሊ ብምቕርራብ፥ ይቕር ይቕር ትበሃህሎም፥ ብይቕርታ ሰላም ድፈጥሩሉ ስርዓት ክፈጥሩ ኽእሎም” ይውሉ፡፡
