Source_label,Z,L,D
0,?? ?? ??? ??????? ??? ? ??? ????? ?????? ???? ??? ?????? ?????? ?? ???? ?? ???? ?????? ?? ???? ????? ????? ?????? ???? ???? ???? ????? ??? ????? ?????,?? ?? ??? ??????? ??? ? ??? ????? ?????? ???? ??? ????? ????? ?? ??? ?? ???? ?????? ?? ???? ????? ????? ?????? ???? ???? ???? ????? ??? ????? ?????,?? ?? ??? ??????? ??? ? ??? ????? ?????? ???? ??? ????? ????? ?????? ????? ?????? ????? ????? ????? ?????? ???? ???? ???? ????? ??? ????? ?????
0,????? ???? ?? ?? ??? ?????? ?? ????? ?????????? ?????????? ????????? ?? ????? ??? ?????? ??? ??? ?????????? ???? ??????,????? ???? ?? ?? ??? ?????? ?? ????? ???????? ???????? ??????? ???? (?? ?????) ??? ???? ??? ??? ?????????? ???? ??????,????? ???? ?? ?? ??? ?????? ?? ????? ???????? ???????? ??????? ???? (?? ?????) ??? ???? ??? ??? ?????????? ???? ??????
0,?? ??? ???? ?????? ????? ?? ????? ???? ???? ?????,?? ??? ???? ?????? ????? ?? ????? ???? ???? ?????,?? ??? ???? ?????? ????? ?? ????? ???? ???? ?????
0,?? ????? ?????? ???? ??? ???? ????? ????? ?????? ????? ????? ????? ?????? ???? ?????? ?? ??? ?????? ???? ?? ???? ??? ?? ???????,?? ????? ?????? ???? ??? ???? ????? ????? ?????? ????? ????? ????? ?????? ???? ?????? ?? ??? ?????? ???? ?? ???? ??? ?? ???????,?? ????? ?????? ???? ??? ???? ????? ????? ?????? ????? ????? ????? ?????? ???? ?????? ?? ??? ??-???? ???? ?? ???? ??? ?? ???????
0,?? ????? ???? ??? ?? ????? ????? ????? ?????? ??? ?????? ??? ???? ???? ?? ?????? ?? ?????? ?? ?? ??? ??? ???? ???? ?????,?? ????? ???? ??? ?? ????? ????? ????? ?????? ??? ?????? ??? ???? ???? ???????? ?? ?????? ?? ?? ??? ??? ??? ???? ?????,?? ????? ???? ??? ?? ????? ????? ????? ?????? ??? ?????? ??? ???? ???? ???????? ?? ?????? ?? ?? ??? ??? ???? ???? ?????
0,?? ????? ?? ??? ??? ????? ????? ??? ??? ???? ??? ??? ?????? ??? ??? ???? ????? ??? ???? (???) ???? ????? ?????,?? ????? ?? ??? ??? ????? ????? ??? ??? ???? ??? ??? ?????? ??? ??? ???? ????? ??? ???? (???) ???? ????? ?????,?? ????? ???? ??? ????? ???? ??? ??? ???? ??? ??? ?????? ??? ??? ???? ????? ??? ??? (???) ???? ????? ?????
0,?? ?? ???? ?? ???? ????? ??? ???? ??? ???? ??? ??? ???? ?????,?? ?? ???? ?? ???? ????? ??? ???? ??? ???? ??? ??? ???? ?????,?? ?? ???? ?? ???? ????? ??? ???? ??? ???? ??? ??? ???? ?????
0,??? ??? ?????? ???? ?? ????? ??? ??? ??? ??????,??? ??? ?????? ???? ?? ????? ??? ??? ??? ??????,??? ??? ?????? ???? ?? ????? ??? ??? ??? ??????
0,?? ???? ??? ?????? ?? ??? ??????? ?? ???? ????? ????? ??????? ????? ???? ??? ???? ????? ?? ??? ??? ?????? ????? ????? ?????? ?????? ?????,?? ???? ??? ?????? ?? ??? ?????? ?? ???? ????? ???? ????? ????? ???? ??? ???? ????? ?? ??? ??? ?????? ????? ????? ?????? ????? ?????,?? ???? ??? ?????? ?? ??? ???? ?? ???? ???? ???? ????? ????? ???? ??? ???? ????? ?? ??? ??? ?????? ????? ????? ?????? ????? ?????
0,????? ??? ???? ????? ???? ?????? ???? ???? ??? ???? ??? ????? ???? ?????,????? ??? ???? ????? ???? ?????? ???? ???? ??? ???? ??? ????? ???? ?????,????? ??? ???? ????? ???? ?????? ???? ???? ??? ???? ??? ????? ???? ?????
0,?? ?????? ?????? ???? ???? ??? ????? ?? ??? ??????? ???? ???-????? ????? ??????,?? ?????? ?????? ???? ???? ??? ????? ?? ??? ??????? ???? ???-????? ????? ??????,?? ?????? ?????? ???? ???? ??? ????? ?? ??? ??????? ???? ???-????? ????? ??????
0,??? ??? ??? ?? ?????? ????? ???? ??? ?? ?? ????? ?????? ??? ??????? ??? ???? ?? ????? ?? ???? ?????,??? ??? ??? ?? ?????? ????? ???? ??? ?? ?? ????? ?????? ??? ??????? ???? ???? ?? ????? ?? ???? ?????,??? ??? ??? ?? ????? ????? ???? ??? ?? ?? ????? ?????? ??? ??????? ???? ???? ?? ????? ?? ???? ?????
0,??? ??-?????? ??? ?? ??? ???? ????? ??? ?? ????? ?????? ????? ???? (??? ??????)? ??? ?? ??? ?? ???? ???? ??????? ???? ???????? ?????? ???? ?????? ????? ?????? ?? ???? ???? ????? ????? ????? ?????? ?? ?? ??? ?? ?????? ??? ?????? ??????? ??? ??????? ????? ???? ??? ??,??? ??-?????? ??? ?? ??? ???? ????? ??? ?? ????? ?????? ????? ???? (??? ??????)? ??? ?? ??? ?? ??? ???? ??????? ???? ???????? ?????? ???? ?????? ????? ?????? ?? ???? ???? ????? ????? ????? ?????? ?? ?? ??? ?? ?????? ??? ?????? ??????? ??? ??????? ???? ???? ??? ??,??? ??-?????? ??? ?? ??? ???? ????? ??? ??- ????? ?????? ????? ???? (??? ??????)? ??? ??- ??? ?? ??? ???? ??????? ???? ???????? ?????? ???? ????? ?? ???? ???? ????? ????? ????? ?????? ?? ?? ??? ?? ?????? ??? ?????? ??????? ??? ????? ???? ???? ??? ??
0,??? ?? ?? ???? ?? ???? ??? ?? ??? ??? (??? ????) ????? ???? ?? ?? ??? ??? ??? ????? ????? ?????,??? ?? ?? ???? ?? ???? ??? ?? ??? ??? (??? ????) ????? ???? ?? ?? ??? ??? ??? ????? ????? ?????,??? ?? ?? ???? ?? ???? ??? ?? ??? ??? (??? ????) ????? ???? ?? ?? ??? ??? ??? ???? ????? ?????
0,?? ?? ???? ???? ??????? ??? ????? ?????? ??? ?????? ??? ????? ???? ????? ??? ?????,?? ?? ???? ???? ??????? ??? ????? ?????? ??? ?????? ??? ????? ???? ????? ??? ?????,?? ?? ???? ???? ?????? ????? ????? ?????? ??? ?????? ??? ????? ???? ????? ??? ?????
0,??? ?? ????? ??? ??? ????? ?? ?? ????? ??????? ????? ?? ??? ???? ????? ???? ?? ??? ???? ??? ??? ????? ?????,??? ?? ????? ??? ??? ????? ?? ?? ????? ??????? ????? ?? ??? ???? ????? ???? ?? ??? ???? ??? ??? ????? ?????,???? ?? ????? “??? ??? ????? ?? ?? ????? ??????? ????? ?? ??? ???? ????? ???? ?? ??? ???? ??? ??? ????? ?????
0,?? ???? ????? ????? ??????? ?????? ??? ???? ??? ????? ??? ????,?? ???? ???? ????? ??????? ?????? ??? ???? ??? ????? ??? ????,????? ????? ????? ????? ???? ?????? ??? ???? ??? ????? ??? ????
0,??? ???? ?? ???? ?? ??? ???? ????? ???? ??????? ?? ???? ??? ????? ????? ????? ???? ???????? ??? ?? ???? ??????? ???? ???? ??????? ????? ??? ????? ???? ???? ????” ?????,??? ???? ?? ???? ?? ??? ???? ????? ???? ??????? ?? ???? ??? ???? ???? ????? ???? ???????? ??? ?? ???? ??????? ???? ???? ??????? ????? ??? ????? ???? ???? ????” ?????,??? ???? ?? ???? ?? ??? ???? ????? ???? ?????? ?? ???? ??? ???? ??? ????? ???? ???????? ??? ?? ???? ??????? ??? ??? ??????? ????? ??? ????? ???? ???? ????” ?????
0,???? ???? ????? ??? ??????? ??? ????? ????? ???? ???? ????? ???? ????????,???? ???? ????? ??? ??????? ??? ????? ????? ???? ???? ????? ???? ????????,???? ???? ????? ???? ??????? ??? ????? ????? ???? ???? ????? ???? ????????
0,???? ?? ????? ??????? ???? ???????? ??? ?? ???? ???? ” ?????,??? ?? ????? ??????? ???? ????? ??? ?? ???? ??? ” ?????,??? ?? ????? ??????? ???? ????? ??? ?? ???? ????” ?????
0,????? ??? ???? ?????????? ?? ?? ????? ????? ????????,????? ??? ???? ???????? ?? ?? ????? ????? ????????,??? ??? ???? ???????? ?? ?? ????? ????? ???????
0,??? ?? ?? ????? ????? ??? ???? ???? ???? ????,??? ?? ?? ????? ????? ??? ???? ???? ???? ??? ,??? ?? ?? ????? ????? ??? ???? ???? ???? ??? 
0, “???? ?? ?? ????’? ??? ???” ?? ???? “??? ?? ?????? ????? ???? ???? ???? ?????? ?? ???? ????? ?? ????? ??? ?? ???? ??? ???? ???????? ????? ??? ????? ????? ????? ???? ?? ???? ??? ????? ????? ???” ?????, “???? ?? ?? ????’? ??? ???” ?? ???? “??? ?? ?????? ????? ???? ???? ???? ?????? ?? ???? ????? ?? ????? ??? ?? ???? ??? ???? ???????? ????? ??? ????? ????? ????? ???? ?? ???? ??? ????? ????? ???” ?????, “???? ?? ?? ????’? ??? ???” ?? ???? “??? ??????? ????? ???? ???? ???? ?????? ????? ????? ?? ????? ???? ????? ??? ???? ???????? ????? ??? ????? ????? ????? ???? ??- ???? ??? ????? ????? ???” ?????
0,???? ?????? ???? ?? ??? ??? ????? ?????? ?????? ??????? ?? ?? ?????? ??? ??? ??? ????? ???? ????? ????? ???? ???? ?? ?????? ?????? ?????,???? ?????? ???? ?? ??? ??? ????? ?????? ?????? ??????? ?? ?? ?????? ??? ??? ??? ????? ???? ????? ????? ???? ???? ?? ?????? ????? ?????,???? ??-???? ???? ?? ???? ??? ????? ?????? ???????? ??????? ?? ?? ?????? ??? ??? ????? ????? ???? ????? ????? ???? ???? ?? ?????? ????? ?????
0,???? ??? ?? ???? ?? ???? ???? ?????? ??? ????? ?? ????? ?? ?? ??? ????? ?????? ??? ????? ???? ????? ???? ??????? ???? ?????? ??????,????? ?? ???? ?? ???? ???? ?????? ??? ????? ?? ????? ?? ?? ??? ????? ?????? ??? ????? ???? ????? ???? ??????? ???? ?????? ??????,????? ?? ???? ????? ???? ??-???? ??? ????? ?? ????? ?? ?? ??? ????? ??-???? ??? ????? ???? ????? ???? ??-????? ???? ?????? ??????
0,????? ? ???? ????,????? ? ???? ????,????? ? ? ????
0,??? ??? ?????? ???? ????? ???? ?????? ?????? ?? ???? ??? ???,??? ??? ?????? ???? ????? ???? ?????? ?????? ?? ???? ????,??? ??? ?????? ???? ????? ???? ?????? ?????? ?? ???? ????
0,2 ??? ??? ????,2 ??? ??? ????,2 ??? ??? ????
0,???? ?????? ???? ?? ???? ?? ???? ?? ?? ????? ?? ????? ?? ??? ??????? ????? ????? ????? ???? ????? ?????? ???? ???? ???? ??? ??? ????? ?????? ?????,???? ?????? ???? ?? ???? ?? ???? ?? ?? ????? ?? ????? ?? ??? ??????? ????? ????? ????? ???? ????? ?????? ???? ???? ???? ??? ??? ????? ?????? ?????,???? ??-???? ???? ?? ???? ?? ???? ?? ?? ????? ??????? ?? ??? ??????? ????? ????? ????? ???? ??? ?????? ???? ???? ???? ??? ??? ????? ????? ?????
0,??? ?? ??? ?? ??? ?? ???? ???? ??????? ????,??? ??’?? ?? ??? ?? ???? ???? ??????? ????,??? ??? ?? ??? ??? ???? ???? ??????? ????
0,?? ?? ??? ?????? ???? ???? ????? ???? ????? ???? ?? ?????? ??? ?????? ??? ????? ??????? ????? ????? ??????,?? ?? ??? ?????? ???? ?? ????? ???? ????? ???? ?? ?????? ??? ?????? ??? ????? ??????? ????? ????? ??????,?? ?? ??? ?????? ???? ?? ????? ???? ????? ???? ?? ?????? ?? ?????? ??? ????? ??????? ????? ????? ??????
0,?? ????? ???? ?? ??? ?? ???? ????? ???? ???? ???? ????? ??? ??? ????,?? ????? ???? ?? ??? ?? ???? ????? ???? ???? ???? ????? ??? ??? ????,?? ????? ???? ?? ??? ?? ???? ????? ???? ???? ???? ????? ??? ??? ????
0,?? ??? ??? ???? ???? ????? ??? ????? ??? ?? ??? ??? ???? ?? ????,?? ??? ??? ???? ???? ????? ??? ????? ??? ?? ??? ??? ???? ?? ????,?? ??? ??? ???? ?????? ????? ???? ????? ??? ?? ??? ??? ???? ?? ????
0,??? ?????? ???? ???? ?? ?????? ???? ???? ????? ????? ?? ??? ??? ??? ?????? ???? ???? ???? ????,??? ?????? ???? ???? ?? ?????? ???? ???? ????? ????? ?? ??? ??? ??? ????? ??? ???? ???? ????,??? ?????? ???? ???? ?? ?????? ???? ???? ????? ????? ?? ??? ??? ??? ????? ???? ???? ???? ????
0,???? ?? ?????? ???? ???? ??? ?? ???? ??? ???? ?????,???? ?????? ???? ???? ??? ?? ???? ??? ???? ??????,???? ?????? ???? ???? ??? ?? ???? ??? ???? ??????
0,?? ???? ?????? ???? ?? ???? ???? ??? ???? ??? ??? ??? ???? ???? ??????? ???? ????? ????? ??? ??,?? ???? ?????? ???? ?? ???? ???? ??? ???? ??? ??? ??? ???? ???? ?????? ???? ????? ???? ??? ??,?? ???? ??-???? ???? ????? ???? ??? ???? ??? ??? ??? ???? ???? ?????? ???? ????? ???? ??? ??
0,??? ??? ?? ?? ?????? ?????? ?? ???? ???? ?? ???? ???? ???? ????? ????? ????? ???? ???????? ???? ???? ?????? (???? ??) ??? ???? ????? ??????? ????? ????? ????? ????? ?????? ???? ??? ????? ????? ????? ?????,??? ??? ?? ?? ?????? ?????? ?? ???? ???? ?? ???? ???? ???? ????? ????? ????? ???? ???????? ???? ???? ?????? (???? ??) ??? ???? ????? ??????? ????? ????? ????? ???? ?????? ???? ??? ????? ????? ????? ?????,??? ??? ?? ?? ?????? ?????? ?? ???? ???? ??- ???? ???? ???? ????? ?????? ????? ???? ???????? ??? ???? ?????? (???? ??) ??? ???? ????? ??????? ????? ????? ????? ???? ?????? ???? ??? ?????? ????? ????? ???(????)??
0,???? ?? ??? ??? ???? ??? ? ??? ???? ??? ????? ??? ???? ???? ???? ??????? ???? ???? ????? ???? ?????? ??? ???? ???? ???? ??????? ????? ???? ???? ???? ?????? ????? ??? ??????? ?? ??? ?? ??? ????? ??? ?? ????? ????? ???? ?????? ??? ???? ????,???? ?? ??? ??? ???? ??? ? ??? ?? ??? ????? ??? ???? ???? ???? ??????? ?? ???? ????? ???? ?????? ??? ???? ???? ???? ??????? ????? ???? ???? ???? ?????? ????? ??? ??????? ?? ??? ?? ??? ????? ??? ?? ????? ????? ???? ?????? ??? ???? ????,???? ?? ??? ??? ???? ??? ? ??? ?? ??? ????? ??? ???? ?????? ???? ??????? ??? ???? ????? ???? ????? ??? ???? ???? ???? ??????? ????? ???? ???? ???? ??????? ????? ??? ??????? ????? ?? ??? ????? ??? ?? ????? ????? ???? ?????? ??? ???? ????
0,?? ???? ????? ??? ?? ?? ??? ???? ?????? ?? ????? ????? ?????? ???? ???????,?? ???? ????? ??? ?? ?? ??? ???? ?????? ?? ????? ????? ?????? ???? ???????,?? ???? ????? ??? ?? ?? ??? ???? ?????? ?? ????? ????? ?????? ???? ????????
0,????? ??? ??? ?? ???? ????? ?????? ?? ??? ???? ?????? ??? ???? ???? ????? ?? ???? ???? ?????? ????? ????? ???? ????? (?????) ???? ????? ???? ???? ???? ????,????? ??? ?? ???? ????? ????? ??? ???? ?????? ??? ???? ???? ????? ????? ???? ?????? ????? ????? ???? ????? (?????) ???? ????? ???? ???? ???? ??,????? ??? ?? ???? ????? ????? ??? ???? ?????? ??? ???? ???? ????? ????? ???? ?????? ????? ????? ???? ????? (?????) ???? ????? ???? ???? ???? ??
0,1.3 ???? ????,1.3 ???? ????,1.3 ???? ????
0,??? ????? ???? ???? ?? ?????? ??-??????,??? ????? ???? ???? ?? ?????? ??-??????,??? ????? ???? ??? ?? ?????? ??-??????
0,??? ????? ???? ???? ???? ????? ?? ?????,??? ????? ???? ?? ?? ????? ?? ?????,??? ????? ???? ?? ?? ????? ?? ?????
0,??? ????? ???? ????? ???? ???? ????,??? ????? ???? ????? ?? ?? ????,??? ????? ???? ????? ?? ?? ????
0,???? ??????? ??????? ??????? ??? ????? ???? ?????,???? ??????? ??????? ??????? ??? ????? ?? ?????,???? ??????? ??????? ??????? ??? ????? ? ?????
0,??? ????? ??? ?? ????? ???? ?????? ????,??? ????? ??? ?? ????? ???? ?????? ????,??? ????? ??? ?? ????? ???? ?????? ????
0,??? ????? ?? ???? ?? ??? ?????? ???? ?????,??? ????? ?? ???? ?? ??? ?????? ?? ?????,??? ????? ?? ???? ?? ???? ?????? ? ?????
0,(??? ???),(??? ???),(??? ???)
0,1.4 ??? ????,1.4 ??? ????,1.4 ??? ????
0,?? ???? ????? ????? ????? ???? ??? ???? ??? ?? ???? ????? ?????,?? ???? ????? ????? ????? ???? ??? ????? ?? ???? ????? ??????,?? ???? ????? ????? ????? ???? ??? ????? ?? ???? ????? ??????
0,1.4.1 ???? ???,1.4.1 ???? ???,1.4.1 ???? ???
0,??? ??? ?? ????? ??????????????????? ??????? ???? ??-???? ??? ????? ? ????? ???? ???? ???? ?? ??,??? ??? ?? ????? ??????????????????? ??????? ???? ??-???? ??? ????? ? ????? ???? ???? ???? ?? ??,??? ??? ?? ????? ??????????????????? ??????? ???? ??-???? ??? ????? ? ????? ???? ???? ???? ????
0,1.4.2 ???? ?????,1.4.2 ???? ?????,1.4.2 ???? ?????
0,??? ????? ???? ???? ?? ?????? ?????? ?????,??? ????? ???? ???? ?? ?????? ?????? ?????,??? ????? ???? ??? ?? ?????? ?????? ?????
0,??? ????? ??? ???? ???? ?? ???? ??????,??? ????? ??? ???? ?? ?? ???? ??????,??? ????? ???? ???? ? ?? ???? ??????
0,?? ?????? ???? ?? ???? ????? ??? ?? ???? ????? ??? ????? ??????? ????? ??? ????? ???? ???? ?? ???? ?????? ????????? ???? ???? ??? ???? ??????? ????? ?????? ?? ???? ?? ??? ?????? ?????,?? ?????? ???? ?? ???? ????? ??? ?? ???? ????? ??? ????? ??????? ????? ??? ????? ???? ???? ?? ???? ?????? ????????? ???? ???? ??? ???? ??????? ????? ?????? ?? ???? ?? ??? ?????? ?????,?? ?????? ???? ?? ???? ????? ??? ?? ???? ????? ??? ????? ??????? ????? ??? ????? ???? ???? ?? ???? ?????? ????????? ???? ???? ??? ???? ??????? ????? ?????? ?? ???? ?? ???? ?????? ?????
0,??? ?????? ?? ??? ??? ???? ????? ???? ????? ?????,??? ?????? ?? ??? ??? ???? ????? ???? ????? ?????,-??? ?????? ?? ??? ??? ???? ????? ???? ????? ?????
0,1.5 ??? ????,1.5 ??? ????,1.5 ??? ????
0,?? ???? ?? ????? ???? ????? ????? ?,?? ???? ?? ????? ???? ????? ????? ?,?? ???? ?????? ???? ????? ??????
0,??-???? ???? ??? ????? ????? ??????????? ??? (??????) ?? ???? ?? ??? ?????? ????? ????,??-???? ???? ??? ????? ????? ??????????? ??? (??????) ?? ???? ?? ??? ?????? ????? ????,??-???? ???? ??? ????? ????? ??????????? ???(??????) ?? ???? ?? ??? ?????? ????? ????
0,????? ??????? ???? ??? ??? ?? ?? ???? ??? ?????????? ?????? ?? ??? ???? ??? ??? ???? ?????? ??????,????? ??????? ???? ??? ??? ?? ?? ???? ??? ?????????? ?????? ?? ??? ???? ??? ??? ???? ?????? ??????,????? ??????? ???? ??? ??? ?? ?? ???? ??? ?????????? ?????? ?? ??? ???? ??? ??? ???? ?????? ??????
0,??? ???????? ???? ?? ??? ???? ???? ???? ??’???? ??? ???? ??? ????? ????? ??????,??? ???????? ???? ?? ??? ???? ???? ???? ??’???? ??? ???? ??? ????? ????? ??????,?? ???????? ???? ?? ???? ???? ???? ???? ??’???? ??? ???? ??? ????? ????? ??????
0,???? ??? ?????? ???? ????? ????? ?????? ??????? ??????,???? ??? ?????? ???? ????? ?????? ?????? ?????? ??????,???? ??? ?????? ???? ????? ??????? ?????? ?????? ??????
0,??? ????? ?? ?? ???? ???? ?? ?? ???????????? ??? ????? ?????? ??????? ????? ???????? ???? ????? ???? ????? ???? ???????,??? ????? ?? ?? ???? ???? ?? ?? ??’?????????? ??? ????? ?????? ??????? ????? ???????? ???? ????? ???? ????? ???? ???????,??? ????? ?? ?? ???? ???? ?? ??? ??’?????????? ??? ????? ?????? ??????? ????? ???????? ???? ???? ???? ????? ??? ???????
0,1.6 ??? ????,1.6 ??? ????,1.6 ??? ????
0,?? ????? ?? ??? ??? ?????? ???? (???? ????) ?? ???? ????? ?? ???,?? ????? ?? ??? ??? ?????? ???? (???? ????) ?? ???? ????? ?? ???,?? ????? ?? ??? ??? ?????? ???? (???? ????) ????? ????? ?? ???
0,?? ???? ???? ???? ????? ??? ?? ?? ??? ????? ???? ???? ?? ?????? ?????? ???? ????? ??? ???? ???? ?? ???? ??????? ??? ???? ???? ???? ??????? ???,?? ???? ???? ???? ????? ??? ?? ?? ??? ????? ???? ???? ?? ?????? ?????? ???? ????? ??? ???? ???? ?? ???? ??????? ??? ???? ???? ?? ??????? ???,?? ???? ???? ???? ????? ??? ?? ?? ??? ????? ???? ??? ?? ?????? ?????? ???? ????? ???? ???? ? ?? ???? ??????? ??? ???? ???? ?? ????? ???
0,??? ?????? ??????? ???? ????? ???? ??????? ????? ?????? ?? ???? ?? ??? ?????? ?????? ????? ?? ??? ??? ???? ???? ????,??? ?????? ??????? ???? ????? ???? ????? ????? ?????? ?? ???? ?? ??? ?????? ?????? ????? ?? ??? ??? ???? ???? ????,??? ?????? ??????? ???? ????? ???? ?????? ????? ?????? ?? ???? ?? ???? ?????? ?????? ????? ?? ??? ??? ???? ???? ????
0,??? ???? ?????? ?? ???? ??? ????? ?????? ????? ??? ???? ???? ???? ?? ??? ????? ????? ??????,??? ???? ?????? ?? ???? ??? ????? ?????? ????? ??? ???? ?? ???? ?? ??? ????? ????? ??????,??? ???? ?????? ?? ???? ??? ????? ??-???? ????? ??? ???? ? ???? ?? ??? ????? ????? ??????
0,??????? ????? ????? ??? ???? ????? ?? ??? ????? ????? ?? ???? ????? ????? ????? ?????? (??????)??,??????? ????? ????? ??? ???? ????? ?? ??? ????? ????? ?? ???? ????? ????? ????? ?????? (??????)??,??????? ????? ????? ??? ???? ????? ?? ??? ????? ????? ?? ???? ????? ????? ????? ????? (?????)??
0,?? ???? ????? ??? (??) ?? ???? ???? ?? ???? ?????? ????? ?? ???? ??? ????? ????,?? ???? ????? ??? (??) ?? ???? ???? ?? ??? ?????? ????? ?? ???? ??? ????? ????,?? ???? ????? ??? (??) ?? ???? ???? ? ???? ?????? ????? ?? ???? ??? ????? ???
0,???? ????? ??? (? ?????) ????? ?????? ?????÷ ??? ???? ?? ??? (??????)?? ??? ?? ?? ?????? ?? ??-???? ???? ?????? ?? ????? ??? ?? ??? ??? ??? ????? (??????) ?? ??? ????? ???? ??-???? ??? ????? ???? ???? ????? ????? ??? ??????? ??? ???? ????? ????,???? ????? ??? (? ?????) ????? ?????? ?????÷ ??? ???? ?? ??? (??????)?? ??? ?? ?? ?????? ?? ??-???? ???? ?????? ?? ????? ??? ?? ??? ??? ??? ????? (??????) ?? ??? ????? ???? ??-???? ??? ????? ???? ???? ????? ????? ??? ?????? ??? ???? ????? ????,???? ????? ??? (? ?????) ????? ?????? ?????÷ ??? ???? ??? ??? (??????) ? ??? ?? ?? ?????? ?? ??-???? ???? ?????? ??- ????? ??? ?? ??? ??? ??? ????? (??????) ?? ??? ????? ???? ??-???? ??? ????? ???? ???? ????? ????? ??? ?????? ???? ???? ????? ????
0,1.7 ?? ?????,1.7 ?? ?????,1.7 ?? ?????
0,?? ??? ??÷ ?? ?????? ?????? ?? ????? ????? ?????? ??? ???? ????? ????,?? ??? ??÷ ?? ?????? ?????? ?? ????? ????? ?????? ??? ???? ????? ????,?? ??? ??÷ ?? ?????? ?????? ?? ????? ????? ?????? ??? ???? ????? ?????
0,???? ??? ??? ???? ????? ????,???? ??? ??? ???? ????? ?????,???? ? ??? ???? ????? ?????
0,1.7.1 ?? ?????? ?????,1.7.1 ?? ?????? ?????,1.7.1 ?? ?????? ?????
